Rank;Previous Rank;First Appearance;First Rank;Name;Computer;Site;Manufacturer;Country;Year;Segment;Total Cores;Accelerator/Co-Processor Cores;Rmax [TFlop/s];Rpeak [TFlop/s];Nmax;Nhalf;HPCG [TFlop/s];Power (kW);Power Source;Power Efficiency [GFlops/Watts];Memory;Architecture;Processor;Processor Technology;Processor Speed (MHz);Operating System;OS Family;Accelerator/Co-Processor;Cores per Socket;Processor Generation;System Model;System Family;Interconnect Family;Interconnect;Continent;Site ID;System ID
233;186;55;156;;Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet;Telecom Operator (C);Inspur;China;2020;Others;47 320;44 800;2 282,00;4 368,00;1 387 000;;;;;;;Cluster;Xeon Gold 6240 18C 2.6GHz;Intel Cascade lake;2 600;Linux;Linux;NVIDIA Tesla V100;18;Xeon Gold 62xx (Cascade Lake);Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 783;179836
234;187;55;157;;Inspur NF5468M5, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet;Telecom Operator (C);Inspur;China;2020;Others;47 320;44 800;2 282,00;4 368,00;1 387 000;;;;;;;Cluster;Xeon Gold 6240 18C 2.6GHz;Intel Cascade lake;2 600;Linux;Linux;NVIDIA Tesla V100;18;Xeon Gold 62xx (Cascade Lake);Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 783;179837
235;188;53;106;Béluga;Dell EMC PowerEdge R640, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, Infiniband EDR;Calcul Québec/Compute Canada;Dell EMC;Canada;2019;Academic;72 480;55 040;2 278,00;7 494,78;2 959 104;790 272;;240,00;Submitted;9,49;;Cluster;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;CentOS;Linux;NVIDIA Tesla V100;20;Xeon Gold;PowerEdge R640;Dell PowerEdge Cluster;Infiniband;Infiniband EDR;North America;50 800;179605
236;189;56;189;;Inspur TS10000 HPC Server, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, InfiniBand HDR 100;Research Laboratory H;Inspur;China;2020;Research;40 560;38 400;2 276,00;3 923,71;1 284 000;;;;;;;Cluster;Xeon Gold 6240 18C 2.6GHz;Intel Cascade lake;2 600;Linux;Linux;NVIDIA Tesla V100;18;Xeon Gold 62xx (Cascade Lake);Inspur TS10000 HPC Server;Inspur Cluster;Infiniband;InfiniBand HDR 100;Asia;50 843;179870
237;190;56;190;;Inspur TS10000 HPC Server, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100, Infiniband HDR;AI company J;Inspur;China;2020;Others;40 800;38 400;2 275,00;3 905,28;1 284 000;;;;;;;Cluster;Xeon Gold 6230 20C 2.1GHz;Intel Cascade lake;2 100;Linux;Linux;NVIDIA Tesla V100;20;Xeon Gold 62xx (Cascade Lake);Inspur TS10000 HPC Server;Inspur Cluster;Infiniband;Infiniband HDR;Asia;50 844;179868
238;191;52;87;Cumulus;PowerEdge C6420/C6320, Intel Xeon Phi 7210/Xeon Gold 6142F 16C 2.6GHz, Intel Omni-Path;University of Cambridge;Dell EMC;United Kingdom;2018;Academic;50 176;;2 271,38;2 688,00;3 928 320;;;530,00;Submitted;4,29;;Cluster;Xeon Gold 6142F 16C 2.6GHz;Intel Skylake;2 600;Scientific Linux;Linux;None;16;Xeon Gold;PowerEdge C6420/C6320;Dell PowerEdge Cluster;Omnipath;Intel Omni-Path;Europe;49 143;179577
239;;57;239;CEA-HFi;BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Atos BXI V2;Commissariat a l'Energie Atomique (CEA);Atos;France;2021;Research;73 728;;2 262,00;2 890,14;3 538 944;;32,85;;;;;Cluster;AMD EPYC 7763 64C 2.45GHz;AMD Zen-3 (Milan);2 450;Linux;Linux;None;64;AMD Milan;BullSequana XH2000;BullSequana;Custom Interconnect;Atos BXI V2;Europe;47 593;179950
240;;57;240;MTS GROM;NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 40GB, Infiniband;#CloudMTS;Nvidia;Russia;2021;Industry;19 840;17 280;2 258,00;3 011,84;915 840;;;;;;;Cluster;AMD EPYC 7742 64C 2.25GHz;AMD Zen-2 (Rome);2 250;Ubuntu 20.04.1 LTS;Linux;NVIDIA A100 40GB;64;AMD Rome;NVIDIA DGX A100;NVIDIA DGX;Infiniband;Infiniband;Europe;50 875;179955
241;192;45;28;Makman-2;Dell PowerEdge R630, Xeon E5-2680v3 12C 2.5GHz, Infiniband QDR;Saudi Aramco;Dell EMC;Saudi Arabia;2015;Industry;76 032;;2 249,68;3 041,28;4 460 544;;;1 134,00;Submitted;1,98;;Cluster;Xeon E5-2680v3 12C 2.5GHz;Intel Haswell;2 500;Redhat Enterprise Linux 6.5;Linux;None;12;Intel Xeon E5 (Haswell);Dell PowerEdge R630;Dell PowerEdge Cluster;Infiniband;Infiniband QDR;Asia;48 751;178606
242;193;53;109;G1;Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2019;Industry;54 000;;2 242,94;4 320,00;5 091 072;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179653
243;;57;243;;ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet;Service Provider T;Lenovo;China;2021;Industry;57 600;;2 241,88;4 608,00;4 800 000;;;;;;;Cluster;Xeon Gold 6233 24C 2.5GHz;Intel Cascade lake;2 500;Linux;Linux;None;24;Xeon Gold 62xx (Cascade Lake);ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 854;179917
244;194;53;110;;Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet;Internet Company;Sugon;China;2019;Industry;67 200;;2 192,00;4 515,84;5 097 000;;;740,00;Submitted;2,96;;Cluster;Xeon Gold 6130 16C 2.1GHz;Intel Skylake;2 100;CentOS;Linux;None;16;Xeon Gold;Sugon TC6000;Sugon Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 743;179672
245;195;56;195;;Inspur NF5468M5, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet;Bank G;Inspur;China;2020;Others;50 400;44 800;2 189,00;4 816,00;1 387 000;;;;;;;Cluster;Xeon Gold 6248 20C 2.5GHz;Intel Cascade lake;2 500;Linux;Linux;NVIDIA Tesla V100;20;Xeon Gold 62xx (Cascade Lake);Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 845;179875
246;197;53;112;H1;Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2019;Industry;52 000;;2 166,52;4 160,00;4 995 840;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179652
247;198;54;129;;Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR;Internet Service (S);Inspur;China;2019;Industry;49 800;48 000;2 164,00;4 423,68;1 436 000;;;;;;;Cluster;Xeon Gold 6146 12C 3.2GHz;Intel Skylake;3 200;Linux;Linux;NVIDIA Tesla V100;12;Xeon Gold;Inspur NF5468M5;Inspur Cluster;Infiniband;Infiniband EDR;Asia;50 817;179766
248;199;54;130;;Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR;Internet Service (S);Inspur;China;2019;Industry;49 800;48 000;2 164,00;4 423,68;1 436 000;;;;;;;Cluster;Xeon Gold 6146 12C 3.2GHz;Intel Skylake;3 200;Linux;Linux;NVIDIA Tesla V100;12;Xeon Gold;Inspur NF5468M5;Inspur Cluster;Infiniband;Infiniband EDR;Asia;50 817;179767
249;200;54;131;;Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR;Internet Service (S);Inspur;China;2019;Industry;49 800;48 000;2 164,00;4 423,68;1 436 000;;;;;;;Cluster;Xeon Gold 6146 12C 3.2GHz;Intel Skylake;3 200;Linux;Linux;NVIDIA Tesla V100;12;Xeon Gold;Inspur NF5468M5;Inspur Cluster;Infiniband;Infiniband EDR;Asia;50 817;179768
250;202;55;169;;ThinkSystem HR630X, Xeon Silver 4110 8C 2.1GHz, 10G Ethernet;Service Provider T;Lenovo;China;2020;Industry;128 000;;2 155,99;4 300,80;7 155 456;;;;;;;Cluster;Xeon Silver 4110 8C 2.1GHz;Intel Skylake;2 100;Linux;Linux;None;8;Xeon Silver;ThinkSystem HR630X;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 329;179815
251;203;53;114;;Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet;Internet Company;Sugon;China;2019;Industry;121 920;;2 152,00;8 973,31;6 472 000;;;1 625,00;Submitted;1,32;;Cluster;Xeon Gold 5118 12C 2.3GHz;Intel Skylake;2 300;Linux;Linux;None;12;Xeon Gold;Sugon TC6000;Sugon Cluster;Gigabit Ethernet;10G Ethernet;Asia;50 743;179678
252;204;55;171;Betty;Cray CS500, AMD EPYC 7542 32C 2.9GHz, InfiniBand HDR100;US Army Research Laboratory (ARL);HPE;United States;2020;Research;94 976;;2 133,00;4 406,89;4 081 920;;;;;;;Cluster;AMD EPYC 7542 32C 2.9GHz;AMD Zen-2 (Rome);2 900;RHEL 7.7;Linux;None;32;AMD Rome;Cray CS500;Cray CS;Infiniband;InfiniBand HDR 100;North America;49 039;179844
253;205;54;134;;ThinkSystem SR650, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet;DJIT Company;Lenovo;China;2019;Industry;96 640;;2 129,54;7 112,70;7 614 720;;;;;;;Cluster;Xeon Gold 5218 16C 2.3GHz;Intel Skylake;2 300;Linux;Linux;None;16;Xeon Gold;ThinkSystem SR650;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 787;179755
254;206;55;173;;INSPUR NF5288M5, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 25G Ethernet;Bank (Z);Inspur;China;2020;Industry;44 200;41 600;2 121,00;4 056,00;1 284 000;;;;;;;Cluster;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;Linux;Linux;NVIDIA Tesla V100;20;Xeon Gold;INSPUR NF5288M5;Inspur Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 836;179840
255;207;55;174;;Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet;Service Provider T;Inspur;China;2020;Industry;44 720;41 600;2 121,00;4 056,00;1 284 000;;;;;;;Cluster;Xeon Platinum 8163 24C 2.5GHz;Intel Skylake;2 500;Linux;Linux;NVIDIA Tesla V100;24;Xeon Platinum;Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 329;179823
256;208;55;175;;Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet;Service Provider T;Inspur;China;2020;Industry;44 720;41 600;2 121,00;4 056,00;1 284 000;;;;;;;Cluster;Xeon Platinum 8163 24C 2.5GHz;Intel Skylake;2 500;Linux;Linux;NVIDIA Tesla V100;24;Xeon Platinum;Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 329;179824
257;209;55;176;;Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet;Service Provider T;Inspur;China;2020;Industry;44 720;41 600;2 121,00;4 056,00;1 284 000;;;;;;;Cluster;Xeon Platinum 8163 24C 2.5GHz;Intel Skylake;2 500;Linux;Linux;NVIDIA Tesla V100;24;Xeon Platinum;Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 329;179825
258;210;54;135;;Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, Infiniband EDR;Xinjiang SC Center;Sugon;China;2019;Government;44 720;41 600;2 115,00;3 903,43;507 000;;;265,00;Submitted;7,98;;Cluster;Xeon Gold 5118 12C 2.3GHz;Intel Skylake;2 300;CentOS;Linux;NVIDIA Tesla V100;12;Xeon Gold;Sugon TC6000;Sugon Cluster;Infiniband;Infiniband EDR;Asia;50 790;179729
259;211;53;115;;INSPUR NF5288M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 100G Ethernet;Internet Company;Inspur;China;2018;Industry;53 760;51 200;2 109,00;4 652,03;1 483 000;;;;;;;Cluster;Xeon Gold 6130 16C 2.1GHz;Intel Skylake;2 100;CentOS;Linux;NVIDIA Tesla V100;16;Xeon Gold;INSPUR NF5288M5;Inspur Cluster;Gigabit Ethernet;100G Ethernet;Asia;50 743;179610
260;212;53;133;MagicCube3;Sugon TC6000, Xeon Gold 6142 16C 2.6GHz, Intel Omni-Path, NVIDIA Tesla V100;Shanghai Supercomputer Center;Sugon;China;2019;Research;40 960;5 120;2 109,00;3 434,09;5 153 000;;;430,00;Submitted;4,90;;Cluster;Xeon Gold 6142 16C 2.6GHz;Intel Skylake;2 600;CentOS;Linux;NVIDIA Tesla V100;16;Xeon Gold;Sugon TC6000;Sugon Cluster;Omnipath;Intel Omni-Path;Asia;49 697;179695
261;213;53;116;I1;Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2019;Industry;50 000;;2 094,00;4 000,00;4 899 072;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179651
262;214;51;83;ATERUI II ;Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ;National Astronomical Observatory of Japan;Cray/HPE;Japan;2018;Academic;40 000;;2 089,98;3 072,00;4 915 200;;36,64;495,86;Submitted;4,21;;MPP;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;Cray Linux Environment ;Linux;None;20;Xeon Gold;Cray XC50;Cray XC;Custom Interconnect;Aries interconnect ;Asia;50 097;179419
263;215;55;271;Greene;ThinkSystem SR650, Xeon Gold 6240 18C 2.6GHz, Infiniband HDR;New York University;Lenovo;United States;2020;Academic;32 796;;2 088,83;3 042,43;3 846 912;;;511,54;Submitted;4,08;;Cluster;Xeon Platinum 8268 24C 2.9GHz;Intel Cascade lake;2 900;Linux;Linux;None;24;Xeon Platinum 82xx (Cascade Lake);ThinkSystem SR650;Lenovo ThinkSystem;Infiniband;Infiniband HDR;North America;49 783;179851
264;216;54;140;;Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet;Internet Service U;Sugon;China;2019;Others;44 032;40 960;2 087,00;3 843,38;503 000;;;260,00;Submitted;8,03;;Cluster;Xeon Gold 5118 12C 2.3GHz;Intel Skylake;2 300;CentOS;Linux;NVIDIA Tesla V100;12;Xeon Gold;Sugon TC6000;Sugon Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 777;179730
265;217;54;141;;Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet;Service Provider T;Inspur;China;2019;Industry;48 160;44 800;2 078,00;4 225,20;1 387 000;;;;;;;Cluster;Xeon Platinum 8163 24C 2.5GHz;Intel Skylake;2 500;Linux;Linux;NVIDIA Tesla V100;24;Xeon Platinum;Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 329;179759
266;218;54;142;;Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet;Service Provider T;Inspur;China;2019;Industry;48 160;44 800;2 078,00;4 225,20;1 387 000;;;;;;;Cluster;Xeon Platinum 8163 24C 2.5GHz;Intel Skylake;2 500;Linux;Linux;NVIDIA Tesla V100;24;Xeon Platinum;Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 329;179760
267;219;54;143;;Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet;Service Provider T;Inspur;China;2019;Industry;48 160;44 800;2 078,00;4 225,20;1 387 000;;;;;;;Cluster;Xeon Platinum 8163 24C 2.5GHz;Intel Skylake;2 500;Linux;Linux;NVIDIA Tesla V100;24;Xeon Platinum;Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 329;179761
268;220;54;144;Cannon;ThinkSystem SD650, Xeon Platinum 8268 24C 2.9GHz, InfiniBand HDR100;Harvard University;Lenovo;United States;2019;Academic;32 160;;2 076,89;2 984,45;3 894 144;;;;;;;Cluster;Xeon Platinum 8268 24C 2.9GHz;Intel Cascade lake;2 900;Linux;Linux;None;24;Xeon Platinum 82xx (Cascade Lake);ThinkSystem SD650;Lenovo ThinkSystem;Infiniband;InfiniBand HDR 100;North America;47 974;179740
269;221;54;145;;Inspur NF5468M5, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 10G Ethernet;Telecom Company;Inspur;China;2019;Industry;59 760;57 600;2 075,00;5 245,78;1 573 000;;;;;;;Cluster;Xeon Gold 5118 12C 2.3GHz;Intel Skylake;2 300;CentOS;Linux;NVIDIA Tesla V100;12;Xeon Gold;Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;10G Ethernet;Asia;50 591;179798
270;222;53;118;JD I1;ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, 10G Ethernet;Internet Company;Lenovo;China;2018;Industry;52 320;;2 074,04;4 018,18;5 011 200;;;;;;;Cluster;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;Linux;Linux;None;20;Xeon Gold;ThinkSystem SR650;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 598;179661
271;223;44;22;Tianhe-2 LvLiang Solution;Tianhe-2 LvLiang, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Intel Xeon Phi 31S1P;LvLiang Cloud Computing Center;NUDT;China;2014;Industry;174 720;153 216;2 071,39;3 074,53;2 366 976;;37,62;997,00;Submitted;2,08;;Cluster;Intel Xeon E5-2692v2 12C 2.2GHz;Intel IvyBridge;2 200;Kylin Linux;Linux;Intel Xeon Phi 31S1P;12;Intel Xeon E5 (IvyBridge);Tianhe-2 LvLiang;Tianhe-2 LvLiang;Custom Interconnect;TH Express-2;Asia;50 546;178464
272;224;54;148;;ThinkSystem SR650, Xeon Gold 6142 16C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR;Government;Lenovo;China;2019;Government;44 160;36 800;2 059,88;3 862,25;2 101 248;;;;;;;Cluster;Xeon Gold 6142 16C 2.6GHz;Intel Skylake;2 600;Linux;Linux;NVIDIA Tesla V100;16;Xeon Gold;ThinkSystem SR650;Lenovo ThinkSystem;Infiniband;Infiniband EDR;Asia;50 774;179741
273;225;54;149;;ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 10G Ethernet;DJIT Company;Lenovo;China;2019;Industry;49 200;;2 045,93;3 936,00;4 859 520;;;;;;;Cluster;Xeon Gold 6248 20C 2.5GHz;Intel Cascade lake;2 500;Linux;Linux;None;20;Xeon Gold 62xx (Cascade Lake);ThinkSystem SR650;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 787;179751
274;226;54;150;;INSPUR NF5288M5, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet;Internet Service (B);Inspur;China;2019;Industry;53 040;49 920;2 028,00;4 648,18;1 464 000;;;;;;;Cluster;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;Linux;Linux;NVIDIA Tesla V100;20;Xeon Gold;INSPUR NF5288M5;Inspur Cluster;Gigabit Ethernet;10G Ethernet;Asia;50 330;179763
275;227;54;151;;INSPUR NF5288M5, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet;Internet Service (B);Inspur;China;2019;Industry;53 040;49 920;2 028,00;4 648,18;1 464 000;;;;;;;Cluster;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;Linux;Linux;NVIDIA Tesla V100;20;Xeon Gold;INSPUR NF5288M5;Inspur Cluster;Gigabit Ethernet;10G Ethernet;Asia;50 330;179797
276;228;55;194;;ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2020;Industry;48 000;;2 027,52;3 840,00;4 800 000;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179819
277;229;54;152;;Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet;Telecom Company;Sugon;China;2019;Industry;55 440;;2 026,00;4 080,38;3 564 000;;;590,00;Submitted;3,43;;Cluster;Xeon Gold 6140 18C 2.3GHz;Intel Skylake;2 300;CentOS;Linux;None;18;Xeon Gold;Sugon TC6000;Sugon Cluster;Gigabit Ethernet;10G Ethernet;Asia;50 591;179785
278;230;56;230;;Inspur NF5468M5, Xeon Gold 5120 14C 2.2GHz, NVIDIA Tesla V100, 10G Ethernet;Bank I;Inspur;China;2020;Others;48 880;41 600;2 016,00;44 982,27;1 337 000;;;;;;;Cluster;Xeon Gold 5120 14C 2.2GHz;Intel Skylake;2 200;Linux;Linux;NVIDIA Tesla V100;14;Xeon Gold;Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;10G Ethernet;Asia;50 846;179874
279;;57;279;TX-Green2;PowerEdge C6420, Xeon Platinum 8260 24C 2.4GHz, 25G Ethernet;MIT Lincoln Laboratory Supercomputing Center;ACTION;United States;2021;Academic;43 200;;2 015,00;53 084,16;3 970 560;;;;;;;Cluster;Xeon Platinum 8260 24C 2.4GHz;Intel Cascade lake;2 400;Ubuntu;Linux;None;24;Xeon Platinum 82xx (Cascade Lake);PowerEdge C6420;Dell PowerEdge Cluster;Gigabit Ethernet;25G Ethernet;North America;48 296;179938
280;231;53;120;J1;Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2019;Industry;48 000;;2 014,46;3 840,00;4 800 000;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179650
281;232;55;197;;Inspur NF5468M5, Xeon Platinum 8260M 24C 2.4GHz, NVIDIA Tesla V100, 100G Ethernet;Internet Company;Inspur;China;2020;Industry;41 280;38 400;2 011,00;3 744,00;1 284 000;;;;;;;Cluster;Xeon Platinum 8260M 24C 2.4GHz;Intel Cascade lake;2 400;Linux;Linux;NVIDIA Tesla V100;24;Xeon Platinum 82xx (Cascade Lake);Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;100G Ethernet;Asia;50 743;179826
282;233;55;198;;Inspur NF5468M5, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet;Manufacturing Company (V);Inspur;China;2020;Industry;40 800;38 400;2 011,00;3 744,00;1 284 000;;;;;;;Cluster;Xeon Gold 6230 20C 2.1GHz;Intel Cascade lake;2 100;Linux;Linux;NVIDIA Tesla V100;20;Xeon Gold 62xx (Cascade Lake);Inspur NF5468M5;Inspur Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 834;179831
283;234;53;121;;Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet;Internet Company;Sugon;China;2019;Industry;110 880;;2 007,00;8 160,77;6 172 000;;;1 470,00;Submitted;1,37;;Cluster;Xeon Gold 5118 12C 2.3GHz;Intel Skylake;2 300;Linux;Linux;None;12;Xeon Gold;Sugon TC6000;Sugon Cluster;Gigabit Ethernet;10G Ethernet;Asia;50 743;179677
284;235;54;155;;Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet;Internet Company;Sugon;China;2019;Industry;42 312;39 360;2 003,00;3 693,54;493 000;;;250,00;Submitted;8,01;;Cluster;Xeon Gold 5118 12C 2.3GHz;Intel Skylake;2 300;CentOS;Linux;NVIDIA Tesla V100;12;Xeon Gold;Sugon TC6000;Sugon Cluster;Gigabit Ethernet;25G Ethernet;Asia;50 598;179731
285;236;51;85;Koehr;HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path;Navy DSRC;HPE;United States;2018;Government;34 560;;2 001,99;2 985,98;3 870 720;;;;;;;Cluster;Xeon Platinum 8168 24C 2.7GHz;Intel Skylake;2 700;Red Hat Enterprise Linux;Linux;None;24;Xeon Platinum;HPE SGI 8600;HPE SGI 8600;Omnipath;Intel Omni-Path;North America;50 425;179427
286;237;51;86;Gaffney;HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path;Navy DSRC;HPE;United States;2018;Government;34 560;;2 001,99;2 985,98;3 870 720;;;;;;;Cluster;Xeon Platinum 8168 24C 2.7GHz;Intel Skylake;2 700;Red Hat Enterprise Linux;Linux;None;24;Xeon Platinum;HPE SGI 8600;HPE SGI 8600;Omnipath;Intel Omni-Path;North America;50 425;179428
287;238;52;95;Grand Chariot;PRIMERGY CX2550 M4 M4, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path;Information Initiative Center, Hokkaido University;Fujitsu;Japan;2018;Academic;39 760;;2 000,00;3 053,57;5 752 696;;33,32;;;;;Cluster;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;Linux;Linux;None;20;Xeon Gold;PRIMERGY CX2550 M4/CX2560 M4/CX2570 M4;Fujitsu PRIMERGY;Omnipath;Intel Omni-Path;Asia;50 367;179445
288;239;54;159;A64FX prototype;Fujitsu A64FX, Fujitsu A64FX 48C 2GHz, Tofu interconnect D;Fujitsu Numazu Plant;Fujitsu;Japan;2019;Vendor;36 864;;1 999,50;2 359,30;1 576 960;;;118,48;Submitted;16,88;;Cluster;Fujitsu A64FX 48C 2GHz;Fujitsu ARM;2 000;Linux;Linux;None;48;Fujitsu A64FX;Fujitsu A64FX;Fujitsu Cluster;Proprietary Network;Tofu interconnect D;Asia;50 811;179706
289;240;52;96;TTSystem;Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet;Internet Service (B);Sugon;China;2018;Industry;116 600;;1 997,00;4 104,32;8 069 000;;;1 200,00;Submitted;1,66;;Cluster;Xeon E5-2630v4 10C 2.2GHz;Intel Broadwell;2 200;CentOS;Linux;None;10;Intel Xeon E5 (Broadwell);Sugon TC6000;Sugon Cluster;Gigabit Ethernet;10G Ethernet;Asia;50 330;179544
290;241;54;161;;Sugon TC6000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR;Chengdu SC Center;Sugon;China;2019;Industry;520 000;;1 985,00;39 936,00;3 274 000;;;510,00;Submitted;3,89;;Cluster;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;CentOS;Linux;None;20;Xeon Gold;Sugon TC6000;Sugon Cluster;Infiniband;Infiniband EDR;Asia;50 815;179732
